customer_id,age,income,tenure_months,num_products,transaction_frequency,transaction_amount,transaction_change_3m,days_since_last_transaction,app_logins,product_usage_days,complaints,support_calls,email_click_rate,last_login_days,push_notification_open_rate,salary_change,relocation,job_change,competitor_offer_seen,price_sensitivity_score,churn
C00001,56,42952.26467851793,105,1,17,3817.978726853736,0.6597757911049866,105,8,16,3,1,0.8339413819785315,1,0.47477459260327837,0.3992835006531062,0,0,1,0.7138968424960132,1
C00002,69,69507.31221384021,81,4,16,4266.751425452635,0.7872753975966931,9,16,29,0,1,0.9360066639606335,88,0.9009948593946183,0.2929992390966263,0,0,1,0.6725343056566907,1
C00003,46,72649.08433284602,50,4,9,6568.106155932452,-0.10745609957678576,19,8,3,1,1,0.9602782589569853,46,0.346157915990731,-0.250043061124388,0,1,1,0.5021804432243351,1
C00004,32,50516.4364979207,61,2,10,3595.580014051797,0.6339132313485228,25,16,22,1,2,0.5604993113645846,23,0.44154968542049,0.16789411101312174,0,0,0,0.9106335554142977,0
C00005,60,44564.5608521425,115,2,10,3418.2148422743307,-0.5838851469185109,49,13,22,0,0,0.8038369265325963,4,0.14476674485474628,0.16693520112541838,0,1,0,0.5494397716709555,0
C00006,25,92190.41331551946,13,1,8,3102.511380218597,-0.7945008688364651,84,16,27,1,0,0.8739657459790535,3,0.6532697565420774,-0.18391622389014647,0,0,0,0.9237864302971841,1
C00007,38,64549.91751464108,12,4,14,4693.693413159896,0.10938815930773896,78,19,17,2,2,0.37718567562909,40,0.5892329197779183,0.41913912648119583,0,1,1,0.4906363964995998,1
C00008,56,72719.35501423475,29,4,10,7021.4794748761215,0.7798160039739974,59,21,9,2,1,0.793427741078059,38,0.43494920889481736,-0.13315051351236248,0,0,0,0.09879409195104616,0
C00009,36,43558.47976344145,85,2,8,4708.7879677732335,0.09976456726295524,8,23,20,1,0,0.4197166722747371,51,0.9769436714760003,0.3156312292140717,0,0,1,0.3648122894805219,1
C00010,40,35614.31066955612,84,5,6,5005.169700073329,0.7688173432510604,73,14,19,1,0,0.5653802386256602,57,0.44195854717749294,0.2524208188599922,0,0,0,0.09874063484284146,1
C00011,28,48611.00451015779,20,5,10,5379.941862778429,-0.07880321276353436,21,18,4,1,0,0.2777516274798014,5,0.3678399205287567,0.29439156912628817,0,0,0,0.7001581951657674,0
C00012,28,57519.57225220006,31,2,8,4340.078262536324,-0.18873404518192916,98,19,2,1,0,0.12048284577079305,19,0.3466393239145339,0.3291003657174602,0,0,0,0.6091436223267306,0
C00013,41,38715.59986365302,8,3,17,3180.776551756063,0.6873259453048415,40,12,3,0,2,0.9188313724718535,72,0.25802361740862434,0.0285157182282289,0,0,1,0.8378963666180012,1
C00014,53,59803.10382699234,24,4,12,4135.518066428603,-0.7219058190302076,57,17,28,0,0,0.7920526796501923,67,0.5347243253244172,0.024306802471057615,0,0,0,0.280831268770402,1
C00015,57,26229.89623863,75,1,18,3865.4115562792667,-0.27713955345935143,118,21,26,2,1,0.16287804080139368,45,0.0019473790895248033,0.4193472767491257,0,0,0,0.11957673304363314,1
C00016,41,37599.051550602555,39,5,10,4822.432917316839,-0.09040380163747824,59,20,15,0,0,0.02192080737679003,23,0.207169146264099,-0.04927152581801006,1,0,1,0.17972346113744342,0
C00017,20,73418.2249655375,33,3,13,4096.27555834549,-0.6609034528084756,105,13,27,0,1,0.5014338214647697,32,0.2607972026004566,0.09758096001120865,0,0,0,0.268958363572225,1
C00018,39,72075.81040555789,42,4,15,5450.726546106262,0.027352851092796907,77,19,19,1,0,0.9102341126055297,6,0.5163665448323765,0.03307109995911664,0,0,0,0.40979634105966445,0
C00019,19,52162.46469226267,15,3,11,4775.169993886448,-0.19951674207803569,26,12,24,0,1,0.30013998403337594,82,0.8334014654890446,0.26342932243014583,1,0,0,0.3881803937849979,0
C00020,41,39644.713818460936,68,4,11,3753.6893041118383,-0.10083367153027023,42,18,26,0,2,0.257804493244278,50,0.1155557927026728,0.3234351708439936,0,1,0,0.5480440427366856,0
C00021,61,39451.928969479784,65,4,14,7911.237348263955,0.2981280971344294,109,13,7,2,2,0.7165338496591214,54,0.1857835402733682,-0.16086043452115326,0,0,1,0.3366989898360002,1
C00022,47,52534.63508117372,32,2,11,5960.577833871653,-0.6874373153484433,59,12,16,1,0,0.2719169830087914,20,0.6198276119584264,0.49764090393936794,0,0,1,0.806882073798263,1
C00023,55,72890.36983290582,11,2,13,4583.588292487585,0.7388694199967235,101,18,1,0,0,0.5544261220796457,18,0.2842863420571976,-0.16796459610106415,1,0,0,0.37712969651615447,0
